ATAC summit (left anchor),ATAC summit (right anchor)
chr2:128465698-128465699,chr2:128429393-128429394
chr2:128818061-128818062,chr2:128698289-128698290
chr2:129198405-129198406,chr2:129129665-129129666
chr2:129198405-129198406,chr2:129176022-129176023
chr2:129819096-129819097,chr2:129800275-129800276
chr2:131210210-131210211,chr2:131159918-131159919
chr2:131210210-131210211,chr2:131204789-131204790
chr2:131233778-131233779,chr2:131210210-131210211
chr2:131697518-131697519,chr2:131562659-131562660
chr2:131704170-131704171,chr2:131697518-131697519
chr2:131910239-131910240,chr2:131902891-131902892
chr2:137066883-137066884,chr2:137005555-137005556
chr2:137116986-137116987,chr2:137005555-137005556
chr2:137581693-137581694,chr2:137116986-137116987
chr2:137598310-137598311,chr2:137005555-137005556
chr2:137694060-137694061,chr2:137116986-137116987
chr2:137707155-137707156,chr2:137005555-137005556
chr2:137723137-137723138,chr2:137066883-137066884
chr2:137598310-137598311,chr2:137116986-137116987
chr2:137694060-137694061,chr2:137116986-137116987
chr2:137723137-137723138,chr2:137005555-137005556
chr2:137459033-137459034,chr2:137066883-137066884
chr2:137581693-137581694,chr2:137116986-137116987
chr2:137598310-137598311,chr2:137598310-137598311
chr2:137686896-137686897,chr2:137116986-137116987
chr2:137694060-137694061,chr2:137005555-137005556
chr2:137697663-137697664,chr2:137116986-137116987
chr2:137707155-137707156,chr2:137116986-137116987
chr2:137716128-137716129,chr2:137005555-137005556
chr2:137723137-137723138,chr2:137066883-137066884
chr2:137723137-137723138,chr2:137116986-137116987
chr2:137694060-137694061,chr2:137581693-137581694
chr2:137723137-137723138,chr2:137598310-137598311
chr2:137723137-137723138,chr2:137694060-137694061
chr2:138257238-138257239,chr2:138040707-138040708
chr2:138279009-138279010,chr2:138040707-138040708
chr2:141266842-141266843,chr2:140671514-140671515
chr2:143915426-143915427,chr2:143903805-143903806
chr2:144270786-144270787,chr2:143915426-143915427
chr2:144165390-144165391,chr2:144011122-144011123
chr2:144270786-144270787,chr2:144123672-144123673
chr2:144368873-144368874,chr2:144159649-144159650
chr2:144165390-144165391,chr2:144165390-144165391
chr2:144165390-144165391,chr2:143903805-143903806
chr2:144165390-144165391,chr2:143915426-143915427
chr2:144188481-144188482,chr2:143915426-143915427
chr2:145888630-145888631,chr2:145881604-145881605
chr2:145902874-145902875,chr2:145888630-145888631
chr2:148680062-148680063,chr2:148185799-148185800
chr2:148680062-148680063,chr2:148672600-148672601
chr2:148732533-148732534,chr2:148680062-148680063
chr2:150788046-150788047,chr2:150777218-150777219
chr2:151979230-151979231,chr2:151572895-151572896
chr2:151979230-151979231,chr2:151913598-151913599
chr2:151979230-151979231,chr2:151962722-151962723
chr2:151979230-151979231,chr2:151973674-151973675
chr2:151994893-151994894,chr2:151979230-151979231
chr2:152105677-152105678,chr2:151979230-151979231
chr2:152929484-152929485,chr2:152343947-152343948
chr2:152349823-152349824,chr2:152395974-152395975
chr2:152415128-152415129,chr2:152654559-152654560
chr2:152670522-152670523,chr2:152670522-152670523
chr2:152683167-152683168,chr2:152707931-152707932
chr2:152821035-152821036,chr2:152729855-152729856
chr2:152831379-152831380,chr2:152670522-152670523
chr2:152831379-152831380,chr2:152735999-152736000
chr2:152831379-152831380,chr2:152739307-152739308
chr2:152735999-152736000,chr2:152806048-152806049
chr2:152735999-152736000,chr2:152809999-152810000
chr2:152821035-152821036,chr2:152670522-152670523
chr2:152831379-152831380,chr2:152687198-152687199
chr2:152914758-152914759,chr2:152696700-152696701
chr2:152929484-152929485,chr2:152735999-152736000
chr2:152821035-152821036,chr2:152739307-152739308
chr2:152831379-152831380,chr2:152821035-152821036
chr2:152821035-152821036,chr2:152735999-152736000
chr2:152821035-152821036,chr2:152904183-152904184
chr2:152831379-152831380,chr2:152914758-152914759
chr2:152929484-152929485,chr2:152105677-152105678
chr2:152929484-152929485,chr2:152735999-152736000
chr2:152929484-152929485,chr2:152821035-152821036
chr2:152914758-152914759,chr2:152831379-152831380
chr2:152929484-152929485,chr2:152889048-152889049
chr2:152922086-152922087,chr2:152904183-152904184
chr2:152929484-152929485,chr2:152914758-152914759
chr2:153014931-153014932,chr2:152922086-152922087
chr2:153161719-153161720,chr2:152914758-152914759
chr2:153347058-153347059,chr2:152929484-152929485
chr2:152929484-152929485,chr2:152914758-152914759
chr2:153014931-153014932,chr2:152929484-152929485
chr2:153161719-153161720,chr2:152914758-152914759
chr2:153347058-153347059,chr2:152929484-152929485
chr2:154455373-154455374,chr2:154436297-154436298
chr2:154464105-154464106,chr2:154455373-154455374
chr2:154613200-154613201,chr2:154571125-154571126
chr2:154809299-154809300,chr2:154790667-154790668
chr2:155236691-155236692,chr2:155225111-155225112
chr2:155242271-155242272,chr2:155236691-155236692
chr2:155247788-155247789,chr2:155236691-155236692
chr2:155825954-155825955,chr2:155818475-155818476
chr2:155929651-155929652,chr2:155825954-155825955
chr2:155949655-155949656,chr2:155825954-155825955
chr2:155956467-155956468,chr2:155825954-155825955
chr2:156180436-156180437,chr2:155949655-155949656
chr2:155956467-155956468,chr2:155825954-155825955
chr2:156180436-156180437,chr2:156143920-156143921
chr2:156196518-156196519,chr2:156180436-156180437
chr2:156313007-156313008,chr2:156180436-156180437
chr2:156720248-156720249,chr2:156180436-156180437
chr2:156720248-156720249,chr2:156313007-156313008
chr2:156726826-156726827,chr2:156720248-156720249
chr2:156775729-156775730,chr2:156720248-156720249
chr2:156863456-156863457,chr2:156720248-156720249
chr2:157077839-157077840,chr2:156840052-156840053
chr2:156863456-156863457,chr2:156720248-156720249
chr2:157077839-157077840,chr2:157058864-157058865
chr2:157077839-157077840,chr2:157066178-157066179
chr2:157077839-157077840,chr2:157071692-157071693
chr2:157566801-157566802,chr2:157204628-157204629
chr2:157566801-157566802,chr2:157375163-157375164
chr2:158179540-158179541,chr2:158169338-158169339
chr2:160646976-160646977,chr2:160620948-160620949
chr2:163419647-163419648,chr2:163353935-163353936
chr2:163364675-163364676,chr2:163353935-163353936
chr2:163398193-163398194,chr2:163017168-163017169
chr2:163675489-163675490,chr2:163645216-163645217
chr2:163820865-163820866,chr2:163799989-163799990
chr2:164443513-164443514,chr2:164433002-164433003
chr2:164454765-164454766,chr2:164433002-164433003
chr2:164520622-164520623,chr2:164443513-164443514
chr2:164454765-164454766,chr2:164433002-164433003
chr2:164520622-164520623,chr2:164443513-164443514
chr2:164833552-164833553,chr2:164822909-164822910
chr2:164857380-164857381,chr2:164833552-164833553
chr2:164879853-164879854,chr2:164833552-164833553
chr2:164879853-164879854,chr2:164857380-164857381
chr2:165856961-165856962,chr2:165841864-165841865
chr2:165856961-165856962,chr2:165850893-165850894
chr2:165875285-165875286,chr2:165856961-165856962
chr2:165885293-165885294,chr2:165856961-165856962
chr2:165914510-165914511,chr2:165875285-165875286
chr2:165885293-165885294,chr2:165856961-165856962
chr2:165914510-165914511,chr2:165885293-165885294
chr2:167421610-167421611,chr2:167071843-167071844
chr2:167421610-167421611,chr2:167233926-167233927
chr2:167421610-167421611,chr2:167351060-167351061
chr2:167421610-167421611,chr2:167358254-167358255
chr2:167421610-167421611,chr2:167399897-167399898
chr2:167492181-167492182,chr2:167421610-167421611
chr2:167503189-167503190,chr2:167492181-167492182
chr2:167594541-167594542,chr2:167565150-167565151
chr2:167633440-167633441,chr2:167538738-167538739
chr2:167570240-167570241,chr2:167538738-167538739
chr2:167661217-167661218,chr2:167633440-167633441
chr2:167776330-167776331,chr2:167633440-167633441
chr2:167776330-167776331,chr2:167689085-167689086
chr2:167776330-167776331,chr2:167764880-167764881
chr2:167789359-167789360,chr2:167776330-167776331
chr2:167799575-167799576,chr2:167776330-167776331
chr2:167817201-167817202,chr2:167776330-167776331
chr2:167834813-167834814,chr2:167776330-167776331
chr2:167931827-167931828,chr2:167925551-167925552
chr2:168073598-168073599,chr2:168066123-168066124
chr2:168230401-168230402,chr2:168206926-168206927
chr2:170260069-170260070,chr2:168955331-168955332
chr2:170260069-170260070,chr2:170248486-170248487
chr2:170731243-170731244,chr2:170248486-170248487
chr2:170731243-170731244,chr2:170511267-170511268
chr2:172440576-172440577,chr2:172370877-172370878
chr2:173264195-173264196,chr2:173228647-173228648
chr2:173276550-173276551,chr2:173253877-173253878
chr2:173353381-173353382,chr2:173228647-173228648
chr2:173264195-173264196,chr2:173253877-173253878
chr2:173276550-173276551,chr2:173264195-173264196
chr2:173353381-173353382,chr2:173228647-173228648
chr2:173452197-173452198,chr2:173253877-173253878
chr2:173276550-173276551,chr2:173264195-173264196
chr2:173353381-173353382,chr2:173276550-173276551
chr2:173378874-173378875,chr2:173264195-173264196
chr2:173452197-173452198,chr2:173276550-173276551
chr2:174075068-174075069,chr2:173353381-173353382
chr2:174328385-174328386,chr2:173253877-173253878
chr2:173353381-173353382,chr2:173264195-173264196
chr2:173378874-173378875,chr2:173276550-173276551
chr2:173452197-173452198,chr2:173353381-173353382
chr2:173378874-173378875,chr2:173264195-173264196
chr2:173452197-173452198,chr2:173353381-173353382
chr2:174075068-174075069,chr2:173659749-173659750
chr2:174075068-174075069,chr2:173730751-173730752
chr2:174075068-174075069,chr2:174009817-174009818
chr2:174075068-174075069,chr2:173264195-173264196
chr2:174328385-174328386,chr2:174075068-174075069
chr2:174343883-174343884,chr2:174328385-174328386
chr2:174415831-174415832,chr2:174328385-174328386
chr2:174439053-174439054,chr2:174328385-174328386
chr2:174473088-174473089,chr2:174328385-174328386
chr2:174884691-174884692,chr2:174328385-174328386
chr2:180042427-180042428,chr2:180024687-180024688
chr2:180032883-180032884,chr2:179976765-179976766
chr2:180042427-180042428,chr2:180024687-180024688
chr2:180042427-180042428,chr2:180032883-180032884
chr2:180702142-180702143,chr2:180257309-180257310
chr2:180710242-180710243,chr2:180257309-180257310
chr2:180967127-180967128,chr2:180273372-180273373
chr2:180710242-180710243,chr2:180589170-180589171
chr2:180710242-180710243,chr2:180702142-180702143
chr2:180967127-180967128,chr2:180257309-180257310
chr2:180710242-180710243,chr2:180589170-180589171
chr2:180967127-180967128,chr2:180710242-180710243
chr2:180967127-180967128,chr2:180921134-180921135
chr2:181365421-181365422,chr2:180967127-180967128
chr2:181520409-181520410,chr2:181365421-181365422
chr2:181581212-181581213,chr2:181497508-181497509
chr2:181520409-181520410,chr2:181365421-181365422
chr2:181581212-181581213,chr2:181520409-181520410
chr3:9000875-9000876,chr3:8993334-8993335
chr3:18624070-18624071,chr3:18215726-18215727
chr3:27711224-27711225,chr3:27584928-27584929
chr3:27711224-27711225,chr3:27653113-27653114
chr3:27711224-27711225,chr3:27695900-27695901
chr3:27765589-27765590,chr3:27711224-27711225
chr3:27863347-27863348,chr3:27711224-27711225
chr3:28523397-28523398,chr3:28485600-28485601
chr3:30995518-30995519,chr3:30969250-30969251
chr3:30995518-30995519,chr3:30982247-30982248
chr3:31018266-31018267,chr3:30995518-30995519
chr3:31023025-31023026,chr3:30999784-30999785
chr3:31018266-31018267,chr3:30995518-30995519
chr3:31023025-31023026,chr3:30999784-30999785
chr3:31094121-31094122,chr3:31057643-31057644
chr3:32396855-32396856,chr3:32362831-32362832
chr3:36475737-36475738,chr3:36449574-36449575
chr3:36468518-36468519,chr3:36150972-36150973
chr3:36475737-36475738,chr3:36449574-36449575
chr3:36475737-36475738,chr3:36455719-36455720
chr3:36475737-36475738,chr3:36468518-36468519
chr3:36481818-36481819,chr3:36475737-36475738
chr3:36496490-36496491,chr3:36475737-36475738
chr3:37419772-37419773,chr3:37361058-37361059
chr3:37370615-37370616,chr3:37313624-37313625
chr3:37419772-37419773,chr3:37361058-37361059
chr3:37419772-37419773,chr3:37370615-37370616
chr3:37875259-37875260,chr3:37419772-37419773
chr3:37936134-37936135,chr3:37875259-37875260
chr3:38254717-38254718,chr3:37419772-37419773
chr3:38276493-38276494,chr3:37556954-37556955
chr3:37936134-37936135,chr3:37875259-37875260
chr3:37886041-37886042,chr3:37419772-37419773
chr3:37936134-37936135,chr3:37419772-37419773
chr3:38276493-38276494,chr3:38254717-38254718
chr3:38484839-38484840,chr3:38276493-38276494
chr3:38283681-38283682,chr3:38276493-38276494
chr3:38382964-38382965,chr3:38276493-38276494
chr3:38427303-38427304,chr3:38254717-38254718
chr3:38484839-38484840,chr3:38276493-38276494
chr3:39269589-39269590,chr3:38885893-38885894
chr3:39335951-39335952,chr3:38885893-38885894
chr3:39726256-39726257,chr3:38885893-38885894
chr3:39953572-39953573,chr3:38885893-38885894
chr3:40452512-40452513,chr3:38885893-38885894
chr3:41564545-41564546,chr3:41183939-41183940
chr3:41195485-41195486,chr3:41183939-41183940
chr3:41283197-41283198,chr3:41195485-41195486
chr3:41289692-41289693,chr3:41183939-41183940
chr3:41408353-41408354,chr3:41195485-41195486
chr3:41547754-41547755,chr3:41283197-41283198
chr3:41564545-41564546,chr3:41183939-41183940
chr3:41283197-41283198,chr3:41183939-41183940
chr3:41289692-41289693,chr3:41195485-41195486
chr3:41547754-41547755,chr3:41083047-41083048
chr3:41564545-41564546,chr3:41183939-41183940
chr3:41564545-41564546,chr3:41195485-41195486
chr3:41564545-41564546,chr3:41221527-41221528
chr3:41289692-41289693,chr3:41228354-41228355
chr3:41564545-41564546,chr3:41283197-41283198
chr3:41564545-41564546,chr3:41289692-41289693
chr3:41564545-41564546,chr3:41295551-41295552
chr3:41564545-41564546,chr3:41547754-41547755
chr3:49757629-49757630,chr3:49094232-49094233
chr3:51223098-51223099,chr3:51196899-51196900
chr3:51415427-51415428,chr3:51409218-51409219
chr3:52577205-52577206,chr3:52269163-52269164
chr3:52631130-52631131,chr3:52269163-52269164
chr3:52634589-52634590,chr3:52269163-52269164
chr3:53463738-53463739,chr3:53060660-53060661
chr3:53202620-53202621,chr3:53041664-53041665
chr3:53463738-53463739,chr3:53065968-53065969
chr3:53065968-53065969,chr3:53016720-53016721
chr3:53463738-53463739,chr3:53041664-53041665
chr3:53202620-53202621,chr3:53060660-53060661
chr3:53463738-53463739,chr3:53065968-53065969
chr3:54479393-54479394,chr3:54473906-54473907
chr3:54490911-54490912,chr3:54479393-54479394
chr3:55113715-55113716,chr3:54735201-54735202
chr3:55113715-55113716,chr3:55095606-55095607
chr3:55147091-55147092,chr3:55113715-55113716
chr3:55354461-55354462,chr3:55113715-55113716
chr3:57305567-57305568,chr3:57289147-57289148
chr3:57295030-57295031,chr3:56962130-56962131
chr3:57305567-57305568,chr3:57295030-57295031
chr3:57411483-57411484,chr3:57305567-57305568
chr3:57575910-57575911,chr3:57295030-57295031
chr3:57321761-57321762,chr3:57305567-57305568
chr3:57411483-57411484,chr3:57295030-57295031
chr3:57575910-57575911,chr3:57503550-57503551
chr3:57575910-57575911,chr3:57510358-57510359
chr3:58372213-58372214,chr3:58311368-58311369
chr3:58414705-58414706,chr3:58168873-58168874
chr3:58372213-58372214,chr3:58203831-58203832
chr3:58414705-58414706,chr3:58311368-58311369
chr3:58316727-58316728,chr3:58316727-58316728
chr3:58372213-58372214,chr3:58329835-58329836
chr3:58414705-58414706,chr3:58168873-58168874
chr3:58372213-58372214,chr3:58203831-58203832
chr3:58414705-58414706,chr3:58311368-58311369
chr3:58372213-58372214,chr3:58316727-58316728
chr3:58414705-58414706,chr3:58329835-58329836
chr3:58414705-58414706,chr3:58372213-58372214
chr3:60499844-60499845,chr3:60125194-60125195
chr3:60499844-60499845,chr3:60129264-60129265
chr3:60499844-60499845,chr3:60408496-60408497
chr3:60603105-60603106,chr3:60499844-60499845
chr3:60633393-60633394,chr3:60499844-60499845
chr3:61401273-61401274,chr3:61363780-61363781
chr3:61441188-61441189,chr3:61363780-61363781
chr3:63964430-63964431,chr3:63557184-63557185
chr3:65529297-65529298,chr3:65118423-65118424
chr3:65928576-65928577,chr3:65135188-65135189
chr3:65529297-65529298,chr3:65139006-65139007
chr3:65928576-65928577,chr3:65393135-65393136
chr3:65957816-65957817,chr3:65529297-65529298
chr3:65529297-65529298,chr3:65393135-65393136
chr3:65957816-65957817,chr3:65529297-65529298
chr3:65529297-65529298,chr3:65118423-65118424
chr3:65872087-65872088,chr3:65135188-65135189
chr3:65928576-65928577,chr3:65393135-65393136
chr3:65844362-65844363,chr3:65529297-65529298
chr3:65872087-65872088,chr3:65872087-65872088
chr3:65928576-65928577,chr3:65135188-65135189
chr3:65957816-65957817,chr3:65139006-65139007
chr3:65974590-65974591,chr3:65529297-65529298
chr3:65928576-65928577,chr3:65928576-65928577
chr3:65957816-65957817,chr3:65529297-65529298
chr3:65974590-65974591,chr3:65957816-65957817
chr3:67962300-67962301,chr3:67581584-67581585
chr3:68494527-68494528,chr3:67581584-67581585
chr3:68494527-68494528,chr3:67768772-67768773
chr3:68494527-68494528,chr3:67962300-67962301
chr3:68494527-68494528,chr3:68470269-68470270
chr3:68509148-68509149,chr3:68494527-68494528
chr3:68543368-68543369,chr3:68494527-68494528
chr3:68608734-68608735,chr3:68494527-68494528
chr3:69046840-69046841,chr3:69004329-69004330
chr3:69127149-69127150,chr3:69118665-69118666
chr3:69485860-69485861,chr3:69316716-69316717
chr3:69519963-69519964,chr3:69127149-69127150
chr3:69721976-69721977,chr3:69127149-69127150
chr3:69721976-69721977,chr3:69127149-69127150
chr3:69440968-69440969,chr3:69253293-69253294
chr3:69721976-69721977,chr3:69316716-69316717
chr3:69721976-69721977,chr3:69485860-69485861
chr3:79591393-79591394,chr3:79287053-79287054
chr3:79989618-79989619,chr3:79935147-79935148
chr3:79977520-79977521,chr3:79880335-79880336
chr3:79989618-79989619,chr3:79935147-79935148
chr3:79995417-79995418,chr3:79977520-79977521
chr3:80003256-80003257,chr3:79935147-79935148
chr3:81030842-81030843,chr3:79989618-79989619
chr3:79989618-79989619,chr3:79935147-79935148
chr3:79995417-79995418,chr3:79989618-79989619
chr3:80003256-80003257,chr3:79935147-79935148
chr3:81030842-81030843,chr3:79989618-79989619
chr3:81036620-81036621,chr3:79989618-79989619
chr3:81036620-81036621,chr3:81030842-81030843
chr3:81782764-81782765,chr3:81036620-81036621
chr3:81885411-81885412,chr3:81030842-81030843
chr3:81917845-81917846,chr3:81036620-81036621
chr3:81377851-81377852,chr3:81030842-81030843
chr3:81782764-81782765,chr3:81036620-81036621
chr3:81885411-81885412,chr3:81030842-81030843
chr3:81917845-81917846,chr3:81036620-81036621
chr3:84319553-84319554,chr3:84313154-84313155
chr3:84333775-84333776,chr3:84319553-84319554
chr3:84479452-84479453,chr3:84319553-84319554
chr3:84696724-84696725,chr3:84319553-84319554
chr3:84815174-84815175,chr3:84319553-84319554
chr3:84815174-84815175,chr3:84696724-84696725
chr3:85537138-85537139,chr3:84952096-84952097
chr3:87174667-87174668,chr3:87102375-87102376
chr3:87150891-87150892,chr3:87115490-87115491
chr3:87174667-87174668,chr3:87150891-87150892
chr3:87150891-87150892,chr3:87072853-87072854
chr3:87174667-87174668,chr3:87102375-87102376
chr3:87163465-87163466,chr3:87115490-87115491
chr3:87174667-87174668,chr3:87150891-87150892
chr3:87525229-87525230,chr3:87163465-87163466
chr3:87763698-87763699,chr3:87150891-87150892
chr3:87174667-87174668,chr3:87174667-87174668
chr3:87525229-87525230,chr3:87150891-87150892
chr3:87906912-87906913,chr3:87763698-87763699
chr3:87930244-87930245,chr3:87885939-87885940
chr3:88144082-88144083,chr3:87906912-87906913
chr3:88177888-88177889,chr3:87910670-87910671
chr3:87906912-87906913,chr3:87763698-87763699
chr3:87930244-87930245,chr3:87885939-87885940
chr3:87919675-87919676,chr3:87906912-87906913
chr3:87930244-87930245,chr3:87910670-87910671
chr3:87942808-87942809,chr3:87919675-87919676
chr3:87919675-87919676,chr3:87906912-87906913
chr3:87930244-87930245,chr3:87930244-87930245
chr3:87930244-87930245,chr3:87930244-87930245
chr3:87942808-87942809,chr3:87942808-87942809
chr3:87948659-87948660,chr3:87930244-87930245
chr3:87960123-87960124,chr3:87942808-87942809
chr3:87986898-87986899,chr3:87948659-87948660
chr3:88297120-88297121,chr3:87930244-87930245
chr3:87948659-87948660,chr3:87763698-87763699
chr3:87960123-87960124,chr3:88138361-88138362
chr3:87960123-87960124,chr3:87763698-87763699
chr3:88144082-88144083,chr3:88144082-88144083
chr3:88177888-88177889,chr3:87930244-87930245
chr3:88297120-88297121,chr3:88144082-88144083
chr3:88325071-88325072,chr3:88297120-88297121
chr3:88336363-88336364,chr3:88325071-88325072
chr3:88425150-88425151,chr3:88410128-88410129
chr3:88492017-88492018,chr3:88410128-88410129
chr3:88503269-88503270,chr3:88492017-88492018
chr3:88511343-88511344,chr3:88492017-88492018
chr3:88553168-88553169,chr3:88503269-88503270
chr3:88511343-88511344,chr3:88492017-88492018
chr3:88553168-88553169,chr3:88503269-88503270
chr3:88553168-88553169,chr3:88511343-88511344
chr3:88593981-88593982,chr3:88553168-88553169
chr3:88609318-88609319,chr3:88593981-88593982
chr3:88616594-88616595,chr3:88593981-88593982
chr3:88685904-88685905,chr3:88609318-88609319
chr3:88616594-88616595,chr3:88616594-88616595
chr3:88625376-88625377,chr3:88593981-88593982
chr3:88717218-88717219,chr3:88685904-88685905
chr3:88950411-88950412,chr3:88913666-88913667
chr3:88984295-88984296,chr3:88950411-88950412
chr3:89102298-89102299,chr3:89089709-89089710
chr3:89123304-89123305,chr3:89102298-89102299
chr3:89163742-89163743,chr3:89102298-89102299
chr3:89163742-89163743,chr3:89123304-89123305
chr3:89177413-89177414,chr3:89163742-89163743
chr3:89183247-89183248,chr3:89163742-89163743
chr3:89183247-89183248,chr3:89177413-89177414
chr3:89266563-89266564,chr3:89245992-89245993
chr3:89419899-89419900,chr3:89392857-89392858
chr3:89773181-89773182,chr3:89338041-89338042
chr3:89411938-89411939,chr3:89392857-89392858
chr3:89419899-89419900,chr3:89411938-89411939
chr3:89773181-89773182,chr3:89419899-89419900
chr3:89962462-89962463,chr3:89419899-89419900
chr3:89419899-89419900,chr3:89338041-89338042
chr3:89430238-89430239,chr3:89392857-89392858
chr3:89436673-89436674,chr3:89419899-89419900
chr3:89773181-89773182,chr3:89730778-89730779
chr3:89962462-89962463,chr3:89392857-89392858
chr3:89773181-89773182,chr3:89419899-89419900
chr3:89998803-89998804,chr3:89962462-89962463
chr3:90052704-90052705,chr3:89998803-89998804
chr3:90079704-90079705,chr3:90052704-90052705
chr3:90254189-90254190,chr3:90248205-90248206
chr3:90265762-90265763,chr3:90254189-90254190
chr3:90509432-90509433,chr3:90490740-90490741
chr3:90612985-90612986,chr3:90509432-90509433
chr3:90575043-90575044,chr3:90509432-90509433
chr3:90586899-90586900,chr3:90575043-90575044
chr3:90603677-90603678,chr3:90509432-90509433
chr3:90612985-90612986,chr3:90575043-90575044
chr3:90586899-90586900,chr3:90586899-90586900
chr3:90603677-90603678,chr3:90490740-90490741
chr3:90612985-90612986,chr3:90509432-90509433
chr3:90603677-90603678,chr3:90575043-90575044
chr3:90612985-90612986,chr3:90586899-90586900
chr3:90612985-90612986,chr3:90603677-90603678
chr3:93521839-93521840,chr3:92987108-92987109
chr3:93521839-93521840,chr3:93022939-93022940
chr3:93556271-93556272,chr3:93521839-93521840
chr3:93537500-93537501,chr3:93022939-93022940
chr3:93556271-93556272,chr3:93521839-93521840
chr3:94987822-94987823,chr3:94953435-94953436
chr3:95015603-95015604,chr3:94987822-94987823
chr3:95065037-95065038,chr3:95054267-95054268
chr3:95107177-95107178,chr3:95065037-95065038
chr3:95315219-95315220,chr3:95282440-95282441
chr3:95659000-95659001,chr3:95650776-95650777
chr3:95675038-95675039,chr3:95659000-95659001
chr3:95664257-95664258,chr3:95659000-95659001
chr3:95668833-95668834,chr3:95650776-95650777
chr3:95675038-95675039,chr3:95659000-95659001
chr3:95675038-95675039,chr3:95664257-95664258
chr3:95675038-95675039,chr3:95668833-95668834
chr3:95688008-95688009,chr3:95675038-95675039
chr3:95696522-95696523,chr3:95675038-95675039
chr3:95696522-95696523,chr3:95688008-95688009
chr3:95754673-95754674,chr3:95739980-95739981
chr3:95871637-95871638,chr3:95855793-95855794
chr3:96104620-96104621,chr3:96087847-96087848
chr3:96160419-96160420,chr3:96104620-96104621
chr3:96220480-96220481,chr3:96104620-96104621
chr3:96113158-96113159,chr3:96087847-96087848
chr3:96128039-96128040,chr3:96104620-96104621
chr3:96160419-96160420,chr3:96160419-96160420
chr3:96197280-96197281,chr3:96087847-96087848
chr3:96220480-96220481,chr3:96160419-96160420
chr3:96220480-96220481,chr3:96197280-96197281
chr3:96226952-96226953,chr3:96220480-96220481
chr3:96263256-96263257,chr3:96220480-96220481
chr3:96269691-96269692,chr3:96263256-96263257
chr3:96278379-96278380,chr3:96263256-96263257
chr3:96278379-96278380,chr3:96269691-96269692
chr3:96562732-96562733,chr3:96557630-96557631
chr3:96576910-96576911,chr3:96557630-96557631
chr3:96600526-96600527,chr3:96594561-96594562
chr3:96629880-96629881,chr3:96600526-96600527
chr3:96635467-96635468,chr3:96600526-96600527
chr3:96635467-96635468,chr3:96629880-96629881
chr3:97775975-97775976,chr3:97767823-97767824
chr3:98024651-98024652,chr3:98014425-98014426
chr3:98043181-98043182,chr3:98014425-98014426
chr3:98063061-98063062,chr3:98014425-98014426
chr3:98382564-98382565,chr3:98356712-98356713
chr3:98374960-98374961,chr3:98014425-98014426
chr3:98382564-98382565,chr3:98356712-98356713
chr3:98382564-98382565,chr3:98374960-98374961
chr3:99251214-99251215,chr3:99233983-99233984
chr3:99263844-99263845,chr3:99251214-99251215
chr3:100070519-100070520,chr3:99251214-99251215
chr3:100162616-100162617,chr3:99251214-99251215
chr3:100685693-100685694,chr3:100679421-100679422
chr3:101600452-101600453,chr3:101595425-101595426
chr3:102734500-102734501,chr3:102364435-102364436
chr3:102995615-102995616,chr3:102970340-102970341
chr3:103020722-103020723,chr3:102995615-102995616
chr3:103809486-103809487,chr3:103790769-103790770
chr3:103967835-103967836,chr3:103914804-103914805
chr3:104297585-104297586,chr3:104220450-104220451
chr3:104789721-104789722,chr3:104782521-104782522
chr3:104864446-104864447,chr3:104782521-104782522
chr3:105054315-105054316,chr3:104789721-104789722
chr3:104864446-104864447,chr3:104789721-104789722
chr3:104993930-104993931,chr3:104864446-104864447
chr3:105054315-105054316,chr3:104782521-104782522
chr3:105060387-105060388,chr3:104789721-104789722
chr3:104993930-104993931,chr3:104864446-104864447
chr3:105054315-105054316,chr3:104993930-104993931
chr3:105054315-105054316,chr3:105001010-105001011
chr3:105054315-105054316,chr3:104789721-104789722
chr3:105060387-105060388,chr3:105054315-105054316
chr3:105687496-105687497,chr3:105054315-105054316
chr3:105959520-105959521,chr3:105054315-105054316
chr3:105959520-105959521,chr3:105687496-105687497
chr3:106721733-106721734,chr3:105959520-105959521
chr3:107696835-107696836,chr3:107687368-107687369
chr3:107739193-107739194,chr3:107687368-107687369
chr3:108146159-108146160,chr3:107696835-107696836
chr3:107739193-107739194,chr3:107733434-107733435
chr3:107761935-107761936,chr3:107696835-107696836
chr3:107823145-107823146,chr3:107739193-107739194
chr3:107829947-107829948,chr3:107761935-107761936
chr3:108146159-108146160,chr3:107761935-107761936
chr3:107739193-107739194,chr3:107775918-107775919
chr3:107761935-107761936,chr3:107761935-107761936
chr3:107775918-107775919,chr3:107775918-107775919
chr3:107793644-107793645,chr3:107761935-107761936
chr3:107796703-107796704,chr3:107775918-107775919
chr3:107802377-107802378,chr3:107793644-107793645
chr3:107823145-107823146,chr3:107796703-107796704
chr3:107829947-107829948,chr3:107696835-107696836
chr3:108146159-108146160,chr3:107761935-107761936
chr3:107793644-107793645,chr3:107775918-107775919
chr3:107796703-107796704,chr3:107796703-107796704
chr3:107802377-107802378,chr3:107802377-107802378
chr3:107823145-107823146,chr3:107696835-107696836
chr3:107829947-107829948,chr3:107761935-107761936
chr3:107802377-107802378,chr3:107775918-107775919
chr3:107802377-107802378,chr3:107796703-107796704
chr3:107823145-107823146,chr3:107802377-107802378
chr3:107829947-107829948,chr3:107823145-107823146
